state,year,daily_packs
NV,1979,183.3
OH,1979,130.9
OK,1979,141.6
PA,1979,122.6
RI,1979,145.8
SC,1979,135.7
SD,1979,117.4
TN,1979,127.2
TX,1979,126.4
UT,1979,79.1
VA,1979,151.8
VT,1979,160.9
WI,1979,117.1
WV,1979,122.1
WY,1979,168.6
AL,1980,123.2
AR,1980,131.8
CA,1980,120.2
CO,1980,131.0
CT,1980,118.0
DE,1980,150.5
GA,1980,134.0
IA,1980,124.6
ID,1980,115.2
IL,1980,135.2
IN,1980,146.9
KS,1980,127.1
KY,1980,215.3
LA,1980,143.8
ME,1980,141.2
MN,1980,117.7
MO,1980,142.1
MS,1980,127.0
MT,1980,122.0
NC,1980,187.8
ND,1980,123.7
NE,1980,116.3
NH,1980,247.8
NM,1980,102.7
NV,1980,177.7
OH,1980,133.5
OK,1980,141.6
PA,1980,124.0
RI,1980,149.3
SC,1980,138.3
SD,1980,114.7
TN,1980,130.4
TX,1980,129.7
UT,1980,74.8
VA,1980,148.9
VT,1980,161.6
WI,1980,117.6
WV,1980,122.3
WY,1980,158.1
AL,1981,119.6
AR,1981,128.7
CA,1981,118.6
CO,1981,133.8
CT,1981,116.4
DE,1981,152.6
GA,1981,131.7
IA,1981,132.9
ID,1981,114.1
IL,1981,133.0
IN,1981,148.5
KS,1981,132.0
KY,1981,209.7
LA,1981,144.0
ME,1981,138.9
MN,1981,120.8
MO,1981,140.5
MS,1981,125.3
MT,1981,121.1
NC,1981,179.3
ND,1981,125.7
NE,1981,117.0
NH,1981,245.4
NM,1981,103.0
NV,1981,171.9
OH,1981,132.8
OK,1981,143.7
PA,1981,125.2
RI,1981,151.2
SC,1981,136.1
SD,1981,115.7
TN,1981,129.1
TX,1981,129.0
UT,1981,77.6
VA,1981,149.9
VT,1981,163.8
WI,1981,119.9
WV,1981,120.5
WY,1981,163.1
AL,1982,119.1
AR,1982,127.4
CA,1982,115.4
CO,1982,130.5
CT,1982,114.7
DE,1982,154.1
GA,1982,131.2
IA,1982,116.2
ID,1982,111.5
IL,1982,130.7
IN,1982,147.7
KS,1982,130.9
KY,1982,210.6
LA,1982,143.9
ME,1982,139.5
MN,1982,119.4
MO,1982,139.7
MS,1982,125.8
MT,1982,122.4
NC,1982,179.0
ND,1982,126.8
NE,1982,117.1
NH,1982,239.8
NM,1982,97.5
NV,1982,165.1
OH,1982,134.0
OK,1982,147.0
PA,1982,123.3
RI,1982,146.3
SC,1982,136.0
SD,1982,113.0
TN,1982,131.4
TX,1982,131.2
UT,1982,73.6
VA,1982,147.4
VT,1982,162.3
WI,1982,115.6
WV,1982,119.8
WY,1982,157.7
AL,1983,116.3
AR,1983,128.0
CA,1983,110.8
CO,1983,125.3
CT,1983,114.1
DE,1983,149.6
GA,1983,128.6
IA,1983,115.6
ID,1983,111.3
IL,1983,127.9
IN,1983,143.0
KS,1983,127.6
KY,1983,201.1
LA,1983,133.7
ME,1983,135.4
MN,1983,113.2
MO,1983,134.1
MS,1983,122.3
MT,1983,113.7
NC,1983,169.7
ND,1983,119.6
NE,1983,110.8
NH,1983,232.9
NM,1983,96.3
NV,1983,159.2
OH,1983,130.0
OK,1983,140.0
PA,1983,125.3
RI,1983,135.8
SC,1983,131.1
SD,1983,109.8
TN,1983,129.0
TX,1983,126.4
UT,1983,69.0
VA,1983,144.7
VT,1983,153.8
WI,1983,106.3
WV,1983,115.7
WY,1983,141.2
AL,1984,113.0
AR,1984,123.1
CA,1984,104.8
CO,1984,119.7
CT,1984,112.5
DE,1984,144.0
GA,1984,126.3
IA,1984,111.2
ID,1984,103.6
IL,1984,124.0
IN,1984,137.8
KS,1984,121.7
KY,1984,183.2
LA,1984,128.9
ME,1984,135.5
MN,1984,110.8
MO,1984,130.0
MS,1984,116.4
MT,1984,110.1
NC,1984,160.6
ND,1984,109.4
NE,1984,107.7
NH,1984,215.1
NM,1984,88.9
NV,1984,136.6
OH,1984,127.1
OK,1984,128.1
PA,1984,115.3
RI,1984,136.9
SC,1984,127.0
SD,1984,105.7
TN,1984,125.1
TX,1984,117.2
UT,1984,66.3
VA,1984,136.8
VT,1984,144.3
WI,1984,105.6
WV,1984,111.9
WY,1984,128.9
AL,1985,114.5
AR,1985,125.8
CA,1985,102.8
CO,1985,112.4
CT,1985,111.0
DE,1985,144.5
GA,1985,128.8
IA,1985,109.4
ID,1985,100.7
IL,1985,121.6
IN,1985,135.3
KS,1985,115.7
KY,1985,182.4
LA,1985,125.0
ME,1985,127.9
MN,1985,113.0
MO,1985,129.2
MS,1985,115.3
MT,1985,103.6
NC,1985,156.3
ND,1985,103.2
NE,1985,105.1
NH,1985,201.1
NM,1985,88.0
NV,1985,146.7
OH,1985,126.7
OK,1985,124.2
PA,1985,115.8
RI,1985,133.4
SC,1985,125.4
SD,1985,104.4
TN,1985,128.7
TX,1985,115.9
UT,1985,66.5
VA,1985,134.6
VT,1985,144.5
WI,1985,107.0
WV,1985,109.1
WY,1985,125.7
AL,1986,116.3
AR,1986,126.0
CA,1986,99.7
CO,1986,109.9
CT,1986,108.5
DE,1986,142.4
GA,1986,129.0
IA,1986,104.1
ID,1986,96.7
IL,1986,118.2
IN,1986,137.6
KS,1986,109.4
KY,1986,179.8
LA,1986,121.2
ME,1986,119.0
MN,1986,104.8
MO,1986,128.8
MS,1986,113.2
MT,1986,97.8
NC,1986,154.4
ND,1986,99.8
NE,1986,103.1
NH,1986,195.9
NM,1986,88.2
NV,1986,142.6
OH,1986,126.3
OK,1986,119.9
PA,1986,113.9
RI,1986,136.3
SC,1986,126.6
SD,1986,97.0
TN,1986,107.9
TX,1986,113.7
UT,1986,64.4
VA,1986,135.8
VT,1986,131.2
WI,1986,105.4
WV,1986,112.1
WY,1986,124.8
AL,1987,114.0
AR,1987,122.3
CA,1987,97.5
CO,1987,102.4
CT,1987,109.0
DE,1987,141.0
GA,1987,129.3
IA,1987,101.1
ID,1987,95.0
IL,1987,109.5
IN,1987,134.0
KS,1987,105.2
KY,1987,171.2
LA,1987,116.5
ME,1987,125.0
MN,1987,108.8
MO,1987,128.7
MS,1987,110.0
MT,1987,91.7
NC,1987,150.5
ND,1987,92.3
NE,1987,101.3
NH,1987,195.1
NM,1987,82.3
NV,1987,147.7
OH,1987,124.6
OK,1987,113.1
PA,1987,110.6
RI,1987,124.4
SC,1987,126.6
SD,1987,95.8
TN,1987,130.6
TX,1987,105.8
UT,1987,67.7
VA,1987,133.0
VT,1987,128.3
WI,1987,106.0
WV,1987,107.5
WY,1987,110.4
AL,1988,112.1
AR,1988,121.5
CA,1988,90.1
CO,1988,94.6
CT,1988,104.8
DE,1988,137.1
GA,1988,124.1
IA,1988,100.2
ID,1988,84.5
IL,1988,107.6
IN,1988,134.0
KS,1988,103.2
KY,1988,173.2
LA,1988,110.9
ME,1988,125.0
MN,1988,94.1
MO,1988,127.4
MS,1988,109.0
MT,1988,87.1
NC,1988,146.0
ND,1988,87.1
NE,1988,92.9
NH,1988,180.4
NM,1988,77.7
NV,1988,141.9
OH,1988,122.4
OK,1988,103.6
PA,1988,107.6
RI,1988,138.0
SC,1988,124.4
SD,1988,91.9
TN,1988,125.3
TX,1988,96.5
UT,1988,55.0
VA,1988,129.5
VT,1988,128.7
WI,1988,102.6
WV,1988,109.1
WY,1988,114.3
AL,1989,105.6
AR,1989,118.3
CA,1989,82.4
CO,1989,88.8
CT,1989,100.6
DE,1989,131.7
GA,1989,117.1
IA,1989,94.4
ID,1989,78.4
IL,1989,104.6
IN,1989,132.5
KS,1989,96.5
KY,1989,171.6
LA,1989,103.6
ME,1989,122.4
MN,1989,92.3
MO,1989,122.8
MS,1989,108.3
MT,1989,86.2
NC,1989,139.3
ND,1989,84.1
NE,1989,93.8
NH,1989,172.9
NM,1989,74.4
NV,1989,137.9
OH,1989,118.6
OK,1989,97.5
PA,1989,107.1
RI,1989,120.8
SC,1989,122.4
SD,1989,87.4
TN,1989,124.7
TX,1989,94.5
UT,1989,57.0
VA,1989,122.5
VT,1989,120.9
WI,1989,100.3
WV,1989,104.0
WY,1989,111.4
AL,1990,108.6
AR,1990,113.1
CA,1990,77.8
CO,1990,87.4
CT,1990,91.5
DE,1990,127.2
GA,1990,113.8
IA,1990,95.4
ID,1990,90.1
IL,1990,94.1
IN,1990,128.3
KS,1990,94.3
KY,1990,182.5
LA,1990,101.5
ME,1990,117.5
MN,1990,90.7
MO,1990,119.1
MS,1990,101.8
MT,1990,84.7
NC,1990,133.7
ND,1990,77.1
NE,1990,89.9
NH,1990,152.4
NM,1990,70.8
NV,1990,137.3
OH,1990,115.5
OK,1990,88.4
PA,1990,101.3
RI,1990,101.4
SC,1990,118.6
SD,1990,88.3
TN,1990,121.8
TX,1990,85.6
UT,1990,53.4
VA,1990,118.9
VT,1990,124.3
WI,1990,94.1
WV,1990,104.1
WY,1990,96.9
AL,1991,107.9
AR,1991,116.8
CA,1991,68.7
CO,1991,90.2
CT,1991,86.7
DE,1991,118.8
GA,1991,109.6
IA,1991,97.1
ID,1991,85.4
IL,1991,96.1
IN,1991,127.2
KS,1991,91.8
KY,1991,170.8
LA,1991,107.2
ME,1991,116.1
MN,1991,86.2
MO,1991,119.9
MS,1991,105.6
MT,1991,82.9
NC,1991,132.7
ND,1991,85.2
NE,1991,92.4
NH,1991,144.8
NM,1991,69.9
NV,1991,115.5
OH,1991,113.2
OK,1991,87.8
PA,1991,102.5
RI,1991,103.6
SC,1991,121.5
SD,1991,91.8
TN,1991,120.6
TX,1991,79.6
UT,1991,53.5
VA,1991,109.1
VT,1991,120.9
WI,1991,95.5
WV,1991,100.1
WY,1991,109.1
AL,1992,109.1
AR,1992,126.0
CA,1992,67.5
CO,1992,88.3
CT,1992,83.6
DE,1992,120.0
GA,1992,109.2
IA,1992,95.2
ID,1992,85.1
IL,1992,94.8
IN,1992,128.2
KS,1992,90.0
KY,1992,167.6
LA,1992,108.5
ME,1992,114.7
MN,1992,83.8
MO,1992,122.3
MS,1992,103.9
MT,1992,86.6
NC,1992,128.8
ND,1992,74.4
NE,1992,90.6
NH,1992,143.7
NM,1992,71.4
NV,1992,110.0
OH,1992,112.3
OK,1992,86.3
PA,1992,96.2
RI,1992,100.1
SC,1992,112.9
SD,1992,93.0
TN,1992,121.0
TX,1992,77.2
UT,1992,55.0
VA,1992,108.2
VT,1992,126.5
WI,1992,96.2
WV,1992,98.0
WY,1992,110.8
AL,1993,108.5
AR,1993,113.8
CA,1993,63.4
CO,1993,88.6
CT,1993,79.1
DE,1993,123.8
GA,1993,109.2
IA,1993,92.5
ID,1993,86.7
IL,1993,94.6
IN,1993,126.8
KS,1993,89.9
KY,1993,167.6
LA,1993,106.2
ME,1993,108.5
MN,1993,81.6
MO,1993,121.6
MS,1993,105.4
MT,1993,86.0
NC,1993,129.7
ND,1993,83.0
NE,1993,91.1
NH,1993,148.9
NM,1993,69.0
NV,1993,108.1
OH,1993,108.9
OK,1993,86.2
PA,1993,94.7
RI,1993,94.1
SC,1993,115.2
SD,1993,91.6
TN,1993,120.8
TX,1993,81.3
UT,1993,56.2
VA,1993,105.4
VT,1993,117.2
WI,1993,91.2
WV,1993,111.0
WY,1993,108.4
AL,1994,107.1
AR,1994,108.8
CA,1994,58.6
CO,1994,89.1
CT,1994,76.6
DE,1994,126.1
GA,1994,107.8
IA,1994,93.4
ID,1994,93.0
IL,1994,85.7
IN,1994,128.2
KS,1994,89.1
KY,1994,170.2
LA,1994,105.3
ME,1994,101.6
MN,1994,83.4
MO,1994,119.4
MS,1994,106.0
MT,1994,88.2
NC,1994,112.7
ND,1994,81.0
NE,1994,85.9
NH,1994,153.8
NM,1994,68.2
NV,1994,105.2
OH,1994,108.6
OK,1994,104.8
PA,1994,95.4
RI,1994,91.9
SC,1994,112.2
SD,1994,94.8
TN,1994,118.8
TX,1994,78.8
UT,1994,55.8
VA,1994,106.2
VT,1994,120.3
WI,1994,91.8
WV,1994,104.2
WY,1994,111.2
AL,1995,102.6
AR,1995,113.0
CA,1995,56.4
CO,1995,85.4
CT,1995,79.3
DE,1995,127.2
GA,1995,100.3
IA,1995,93.0
ID,1995,78.2
IL,1995,84.3
IN,1995,135.4
KS,1995,90.1
KY,1995,175.3
LA,1995,105.7
ME,1995,102.3
MN,1995,84.1
MO,1995,124.0
MS,1995,107.5
MT,1995,90.5
NC,1995,124.9
ND,1995,80.6
NE,1995,88.5
NH,1995,158.5
NM,1995,67.0
NV,1995,100.9
OH,1995,111.7
OK,1995,109.5
PA,1995,95.4
RI,1995,90.8
SC,1995,109.2
SD,1995,98.6
TN,1995,125.4
TX,1995,75.2
UT,1995,52.0
VA,1995,106.7
VT,1995,123.2
WI,1995,93.5
WV,1995,115.8
WY,1995,115.0
AL,1996,101.4
AR,1996,110.7
CA,1996,54.5
CO,1996,83.1
CT,1996,76.0
DE,1996,128.3
GA,1996,102.7
IA,1996,94.0
ID,1996,73.6
IL,1996,81.8
IN,1996,135.1
KS,1996,88.7
KY,1996,179.0
LA,1996,106.8
ME,1996,100.0
MN,1996,81.7
MO,1996,124.1
MS,1996,106.9
MT,1996,87.3
NC,1996,129.7
ND,1996,80.8
NE,1996,86.2
NH,1996,158.0
NM,1996,65.7
NV,1996,99.0
OH,1996,107.6
OK,1996,110.8
PA,1996,93.3
RI,1996,87.5
SC,1996,102.9
SD,1996,92.3
TN,1996,119.2
TX,1996,74.6
UT,1996,54.0
VA,1996,104.6
VT,1996,102.5
WI,1996,92.1
WV,1996,112.7
WY,1996,110.3
AL,1997,104.9
AR,1997,108.7
CA,1997,53.8
CO,1997,81.3
CT,1997,75.9
DE,1997,124.1
GA,1997,100.6
IA,1997,93.9
ID,1997,75.0
IL,1997,79.6
IN,1997,135.3
KS,1997,89.2
KY,1997,186.8
LA,1997,105.3
ME,1997,101.1
MN,1997,84.1
MO,1997,120.6
MS,1997,106.3
MT,1997,88.9
NC,1997,125.6
ND,1997,77.5
NE,1997,85.5
NH,1997,174.4
NM,1997,61.8
NV,1997,95.6
OH,1997,108.6
OK,1997,111.8
PA,1997,92.9
RI,1997,90.0
SC,1997,124.5
SD,1997,88.8
TN,1997,118.9
TX,1997,72.6
UT,1997,57.0
VA,1997,108.0
VT,1997,97.7
WI,1997,91.9
WV,1997,114.5
WY,1997,108.8
AL,1998,106.2
AR,1998,109.5
CA,1998,52.3
CO,1998,81.2
CT,1998,75.5
DE,1998,132.8
GA,1998,100.5
IA,1998,94.0
ID,1998,78.9
IL,1998,80.3
IN,1998,135.9
KS,1998,87.6
KY,1998,171.3
LA,1998,103.2
ME,1998,94.5
MN,1998,83.2
MO,1998,120.1
MS,1998,107.0
MT,1998,89.1
NC,1998,126.0
ND,1998,79.1
NE,1998,79.7
NH,1998,173.8
NM,1998,62.6
NV,1998,102.4
OH,1998,106.4
OK,1998,112.2
PA,1998,92.1
RI,1998,88.7
SC,1998,126.9
SD,1998,88.3
TN,1998,119.7
TX,1998,73.2
UT,1998,42.3
VA,1998,105.6
VT,1998,97.0
WI,1998,88.7
WV,1998,114.6
WY,1998,102.9
AL,1999,100.7
AR,1999,104.8
CA,1999,47.2
CO,1999,79.6
CT,1999,73.4
DE,1999,139.5
GA,1999,97.1
IA,1999,91.7
ID,1999,75.1
IL,1999,72.2
IN,1999,133.3
KS,1999,83.3
KY,1999,165.3
LA,1999,101.0
ME,1999,85.5
MN,1999,80.7
MO,1999,118.0
MS,1999,103.9
MT,1999,82.6
NC,1999,113.1
ND,1999,74.7
NE,1999,86.8
NH,1999,171.7
NM,1999,59.7
NV,1999,103.9
OH,1999,104.0
OK,1999,111.4
PA,1999,91.1
RI,1999,86.9
SC,1999,109.4
SD,1999,83.5
TN,1999,115.8
TX,1999,67.8
UT,1999,43.9
VA,1999,102.1
VT,1999,94.1
WI,1999,84.4
WV,1999,112.4
WY,1999,104.8
AL,2000,96.2
AR,2000,99.4
CA,2000,41.6
CO,2000,73.0
CT,2000,71.4
DE,2000,140.7
GA,2000,88.1
IA,2000,88.9
ID,2000,66.9
IL,2000,70.0
IN,2000,125.5
KS,2000,79.8
KY,2000,156.2
LA,2000,104.3
ME,2000,82.9
MN,2000,76.0
MO,2000,113.8
MS,2000,97.2
MT,2000,75.5
NC,2000,109.0
ND,2000,72.5
NE,2000,77.6
NH,2000,147.3
NM,2000,53.8
NV,2000,93.2
OH,2000,99.9
OK,2000,108.9
PA,2000,87.9
RI,2000,83.1
SC,2000,103.9
SD,2000,75.1
TN,2000,108.7
TX,2000,69.3
UT,2000,40.7
VA,2000,96.7
VT,2000,88.9
WI,2000,80.1
WV,2000,107.9
WY,2000,90.5
